edge,roi_i,roi_j,network_i,network_j,pos_selected_folds,neg_selected_folds,total_selected_folds
5,mPFC,Left Anterior Insula,DMN,SN,5,0,5
6,mPFC,Right Anterior Insula,DMN,SN,5,0,5
23,PCC,Left Anterior Insula,DMN,SN,5,0,5
24,PCC,Right Anterior Insula,DMN,SN,5,0,5
40,Left Angular,Left Anterior Insula,DMN,SN,5,0,5
41,Left Angular,Right Anterior Insula,DMN,SN,5,0,5
56,Right Angular,Left Anterior Insula,DMN,SN,5,0,5
57,Right Angular,Right Anterior Insula,DMN,SN,5,0,5
71,Left Hippocampus,Left Anterior Insula,DMN,SN,5,0,5
72,Left Hippocampus,Right Anterior Insula,DMN,SN,5,0,5
85,Right Hippocampus,Left Anterior Insula,DMN,SN,5,0,5
86,Right Hippocampus,Right Anterior Insula,DMN,SN,5,0,5
