edge,roi_i,roi_j,network_i,network_j,pos_selected_folds,neg_selected_folds,total_selected_folds
5,mPFC,Left Anterior Insula,DMN,SN,5,0,5
6,mPFC,Right Anterior Insula,DMN,SN,5,0,5
23,PCC,Left Anterior Insula,DMN,SN,5,0,5
24,PCC,Right Anterior Insula,DMN,SN,5,0,5
40,Left Angular,Left Anterior Insula,DMN,SN,5,0,5
41,Left Angular,Right Anterior Insula,DMN,SN,5,0,5
56,Right Angular,Left Anterior Insula,DMN,SN,5,0,5
57,Right Angular,Right Anterior Insula,DMN,SN,5,0,5
71,Left Hippocampus,Left Anterior Insula,DMN,SN,5,0,5
72,Left Hippocampus,Right Anterior Insula,DMN,SN,5,0,5
85,Right Hippocampus,Left Anterior Insula,DMN,SN,5,0,5
86,Right Hippocampus,Right Anterior Insula,DMN,SN,5,0,5
55,Right Angular,Right Hippocampus,DMN,DMN,3,0,3
45,Left Angular,Left IPS,DMN,CEN,0,3,3
180,Left Auditory,Right Auditory,Sensory,Sensory,0,2,2
84,Left Hippocampus,Cerebellum,DMN,Other,1,0,1
144,Left dlPFC,Cerebellum,CEN,Other,1,0,1
0,mPFC,PCC,DMN,DMN,0,0,0
1,mPFC,Left Angular,DMN,DMN,0,0,0
2,mPFC,Right Angular,DMN,DMN,0,0,0
3,mPFC,Left Hippocampus,DMN,DMN,0,0,0
4,mPFC,Right Hippocampus,DMN,DMN,0,0,0
7,mPFC,dACC,DMN,SN,0,0,0
8,mPFC,Left dlPFC,DMN,CEN,0,0,0
9,mPFC,Right dlPFC,DMN,CEN,0,0,0
10,mPFC,Left IPS,DMN,CEN,0,0,0
11,mPFC,Right IPS,DMN,CEN,0,0,0
12,mPFC,Left Visual,DMN,Sensory,0,0,0
13,mPFC,Right Visual,DMN,Sensory,0,0,0
14,mPFC,Left Auditory,DMN,Sensory,0,0,0
15,mPFC,Right Auditory,DMN,Sensory,0,0,0
16,mPFC,Left Motor,DMN,Motor,0,0,0
17,mPFC,Right Motor,DMN,Motor,0,0,0
18,mPFC,Cerebellum,DMN,Other,0,0,0
19,PCC,Left Angular,DMN,DMN,0,0,0
20,PCC,Right Angular,DMN,DMN,0,0,0
21,PCC,Left Hippocampus,DMN,DMN,0,0,0
22,PCC,Right Hippocampus,DMN,DMN,0,0,0
25,PCC,dACC,DMN,SN,0,0,0
26,PCC,Left dlPFC,DMN,CEN,0,0,0
27,PCC,Right dlPFC,DMN,CEN,0,0,0
28,PCC,Left IPS,DMN,CEN,0,0,0
29,PCC,Right IPS,DMN,CEN,0,0,0
30,PCC,Left Visual,DMN,Sensory,0,0,0
31,PCC,Right Visual,DMN,Sensory,0,0,0
32,PCC,Left Auditory,DMN,Sensory,0,0,0
33,PCC,Right Auditory,DMN,Sensory,0,0,0
34,PCC,Left Motor,DMN,Motor,0,0,0
35,PCC,Right Motor,DMN,Motor,0,0,0
36,PCC,Cerebellum,DMN,Other,0,0,0
37,Left Angular,Right Angular,DMN,DMN,0,0,0
38,Left Angular,Left Hippocampus,DMN,DMN,0,0,0
39,Left Angular,Right Hippocampus,DMN,DMN,0,0,0
42,Left Angular,dACC,DMN,SN,0,0,0
43,Left Angular,Left dlPFC,DMN,CEN,0,0,0
44,Left Angular,Right dlPFC,DMN,CEN,0,0,0
46,Left Angular,Right IPS,DMN,CEN,0,0,0
47,Left Angular,Left Visual,DMN,Sensory,0,0,0
48,Left Angular,Right Visual,DMN,Sensory,0,0,0
49,Left Angular,Left Auditory,DMN,Sensory,0,0,0
50,Left Angular,Right Auditory,DMN,Sensory,0,0,0
51,Left Angular,Left Motor,DMN,Motor,0,0,0
52,Left Angular,Right Motor,DMN,Motor,0,0,0
53,Left Angular,Cerebellum,DMN,Other,0,0,0
54,Right Angular,Left Hippocampus,DMN,DMN,0,0,0
58,Right Angular,dACC,DMN,SN,0,0,0
59,Right Angular,Left dlPFC,DMN,CEN,0,0,0
60,Right Angular,Right dlPFC,DMN,CEN,0,0,0
61,Right Angular,Left IPS,DMN,CEN,0,0,0
62,Right Angular,Right IPS,DMN,CEN,0,0,0
63,Right Angular,Left Visual,DMN,Sensory,0,0,0
64,Right Angular,Right Visual,DMN,Sensory,0,0,0
65,Right Angular,Left Auditory,DMN,Sensory,0,0,0
66,Right Angular,Right Auditory,DMN,Sensory,0,0,0
67,Right Angular,Left Motor,DMN,Motor,0,0,0
68,Right Angular,Right Motor,DMN,Motor,0,0,0
69,Right Angular,Cerebellum,DMN,Other,0,0,0
70,Left Hippocampus,Right Hippocampus,DMN,DMN,0,0,0
73,Left Hippocampus,dACC,DMN,SN,0,0,0
74,Left Hippocampus,Left dlPFC,DMN,CEN,0,0,0
75,Left Hippocampus,Right dlPFC,DMN,CEN,0,0,0
76,Left Hippocampus,Left IPS,DMN,CEN,0,0,0
77,Left Hippocampus,Right IPS,DMN,CEN,0,0,0
78,Left Hippocampus,Left Visual,DMN,Sensory,0,0,0
79,Left Hippocampus,Right Visual,DMN,Sensory,0,0,0
80,Left Hippocampus,Left Auditory,DMN,Sensory,0,0,0
81,Left Hippocampus,Right Auditory,DMN,Sensory,0,0,0
82,Left Hippocampus,Left Motor,DMN,Motor,0,0,0
83,Left Hippocampus,Right Motor,DMN,Motor,0,0,0
87,Right Hippocampus,dACC,DMN,SN,0,0,0
88,Right Hippocampus,Left dlPFC,DMN,CEN,0,0,0
89,Right Hippocampus,Right dlPFC,DMN,CEN,0,0,0
90,Right Hippocampus,Left IPS,DMN,CEN,0,0,0
91,Right Hippocampus,Right IPS,DMN,CEN,0,0,0
92,Right Hippocampus,Left Visual,DMN,Sensory,0,0,0
93,Right Hippocampus,Right Visual,DMN,Sensory,0,0,0
94,Right Hippocampus,Left Auditory,DMN,Sensory,0,0,0
95,Right Hippocampus,Right Auditory,DMN,Sensory,0,0,0
96,Right Hippocampus,Left Motor,DMN,Motor,0,0,0
97,Right Hippocampus,Right Motor,DMN,Motor,0,0,0
98,Right Hippocampus,Cerebellum,DMN,Other,0,0,0
99,Left Anterior Insula,Right Anterior Insula,SN,SN,0,0,0
100,Left Anterior Insula,dACC,SN,SN,0,0,0
101,Left Anterior Insula,Left dlPFC,SN,CEN,0,0,0
102,Left Anterior Insula,Right dlPFC,SN,CEN,0,0,0
103,Left Anterior Insula,Left IPS,SN,CEN,0,0,0
104,Left Anterior Insula,Right IPS,SN,CEN,0,0,0
